Field=#~Integer~#~50|Field=P/N~String~P/N~135|Field=Manufacturer~String~Manufacturer~182|Field=Name~String~Name~190|Field=LibRef~String~LibRef~145|Field=Description~String~Description~438|Field=Footprint~String~Footprint~151|Field=Designator~String~Designator~1169|Field=Value~String~Value~52|Field=Voltage~String~Voltage~119|Field=Quantity~Integer~Quantity~67|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Daughter_Board.PrjPcb|ReportField=ProjectFullPath~D:\Altium_Projects\Daughter_Board\Daughter_Board.PrjPcb|ReportField=Title~Bill of Materials For Project [Daughter_Board.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~410|ReportField=ReportTime~19:22:02|ReportField=ReportDate~14.03.2019|ReportField=ReportDateTime~14.03.2019 19:22:02|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~14.03.2019|ReportField=CurrentTime~19:18:53|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Altium_Projects\Daughter_Board\Digital.SchDoc|ReportField=DocumentName~Digital.SchDoc|ReportField=DocumentNumber~ПЛАС.ХХХХХХ.ХХХ ХХ|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~17.01.2019|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=False:CenterVertical=False:PrintScale=0.95:XCorrection=0.00:YCorrection=0.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProjectName~Daughter_Board.PrjPcb|ReportField=Revision~|ReportField=Rule~Undefined|ReportField=SheetNumber~{}|ReportField=SheetTotal~{}|ReportField=Time~|ReportField=Title~{Наименование}|ReportField=DocumentType~{Документ}|ReportField=DocumentType1str~|ReportField=DocumentType2str~|ReportField=EngineerName~|ReportField=Letter1Column~{}|ReportField=Letter2Column~{}|ReportField=Letter3Column~{}|ReportField=Mass~{М.}|ReportField=NormInspection~{Н.контр.}|ReportField=ProcessInspection~{Т.контр.}|ReportField=Scale~{Мш.}|ReportField=Title1str~|ReportField=Title2str~|ReportField=DataSourceFileName~Daughter_Board.PrjPcb|ReportField=DataSourceFullPath~D:\Altium_Projects\Daughter_Board\Daughter_Board.PrjPcb
1||||Test  Point||Control Point|K3, K4|||2
29|GRM21BR61H475KE51L|Murata||CAP|SMD Capacitor|C0805|C45|4.7uF|50V|1
30|GRM21BR70J106KA73L|Murata||CAP|SMD Capacitor|C0805|C6|10uF|6.3V|1
31|GRM21BR71A105KA01K|Murata||CAP|SMD Capacitor|C0805|C20, C23, C43, C63, C72, C74, C92, C104, C109, C114, C116, C134, C137, C141, C142, C150, C153, C157, C158, C178, C179, C180, C181, C187, C188, C189, C190, C192, C193, C194, C195, C200, C201, C202, C203, C204, C207|1uF|10V|37
32|GRM3195C1H273JA01D|Murata||CAP|SMD Capacitor|C1206|C30, C69, C107, C111|27nF|50V|4
33|GRM31C5C1H104JA01K|Murata||CAP|SMD Capacitor|C1206|C119, C120, C121, C122, C126|0.1uF|50V|5
34|GRM31C5C1H104JA01K|Murata||CAP|SMD Capacitor|C1206|C2|0.1µF|50V|1
35|GRM32ER71A476KE15L|Murata||CAP uF|SMD Capacitor|C1210|C199|47uF|10V|1
36|714390164|Molex|1.00mm Pitch Mezzanine 714390164|DBoard|USRP DBoard|DBoard|X1|||1
37|||2N7002|2N7002|N-Channel MOSFET 2N7002|SOT-23|T7, T8, T9||60V|3
38||Microchip|24LC024|24LC024|I2C EEPROM|SOIC_SN8|D30, D31||2.5-5.5V|2
39|0603HP-5N1XJL|Coilcraft|0603HP-5N1X_E_|Inductor RF|Chip SMD Inductor|L0603_HP|L3, L4, L5|5.1nH||3
40|0603HP-18NXJE|Coilcraft|0603HP-18NXJE|Inductor RF|Chip SMD Inductor|L0603_HP|L6|18nH||1
41|0603HP-33NXGE|Coilcraft|0603HP-33NXGE|Inductor RF|Chip SMD Inductor|L0603_HP|L23, L24, L25, L26, L27, L28, L29, L30|33nH||8
42|0603HP-43NXJE|Coilcraft|0603HP-43NXJE|Inductor RF|Chip SMD Inductor|L0603_HP|L8, L31|43nH||2
43|0603HP-68NXGE|Coilcraft|0603HP-68NXGE|Inductor RF|Chip SMD Inductor|L0603_HP|L9, L10, L11, L14|68nH||4
44|0603HP-68NXJE|Coilcraft|0603HP-68NXJE|Inductor RF|Chip SMD Inductor|L0603_HP|L17, L18, L32, L33|68nH||4
45|0603HP-R12XGE|Coilcraft|0603HP-R12XGE|Inductor RF|Chip SMD Inductor|L0603_HP|L12, L13, L15, L16, L19, L20, L21, L22|120nH||8
46|0805HP-6N2XJR|Coilcraft|0805HP-6N2XJR|Inductor RF|Chip SMD Inductor|L0805_HP|L34, L40, L41, L43|6.2nH||4
47|1008LS-153XJE|Coilcraft|1008LS-153XJE|Inductor|Chip SMD Inductor|L1008_LS|L2|15uH||1
48|ADL5375-05SCPZEPR7|Analog Devices|ADL5375-05|ADL5375|Broadband Quadrature Modulator|LFCSP-24|D20||4.75 V to 5.25 V|1
49|ADL5610ARKZ-R7|Analog Devices|ADL5610|ADL5610|RF/IF Gain Block|ADL5610|D13, D22|||2
50|APHCM2012CGCK-F01|Kingbright|APHCM2012|LED|CHIP LED LAMP|LED|H1, H2|||2
51|APHCM2012SECK-F01|Kingbright|APHCM2012|LED|CHIP LED LAMP|LED|H3|||1
52|BFCV-4085+|Mini-Circuits|BFCV-4085+|BFCV-4085+|Bandpass Filter|JV1210C|Z6, Z12|||2
53|ERJ-2GE0R00X||Chip SMD Resistor|RES|SMD Resistor|R0603|R56, R58, R60, R62, R66, R69, R79|none||7
54|ERJ-2GE0R00X||Chip SMD Resistor|RES|SMD Resistor|R0603|R57, R59, R61, R63, R67, R70|0||6
55|ERJ-2GEJ102X||Chip SMD Resistor|RES|SMD Resistor|R0402|R5, R7, R51|1k||3
56|ERJ-2GEJ680X||Chip SMD Resistor|RES|SMD Resistor|R0402|R65, R68, R71|68||3
57|ERJ-2RHD1501X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R6, R77|1.5k||2
58|ERJ-2RHD1960X-ND|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R18, R22, R25, R30|196||4
59|ERJ-2RKD24R9X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R19, R20, R26, R27|24.9||4
60|ERJ-2RKD49R9X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R1, R2, R8, R14, R16, R23, R31, R32, R33, R35, R36, R38, R42, R44|49.9||14
61|ERJ-2RKD68R1X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R17, R21, R24, R29|68.1||4
62|ERJ-2RKF1003X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R3|100k||1
63|ERJ-2RKF11R8X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R9, R39, R48|11.8||3
64|ERJ-2RKF1400X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R34, R37|140||2
65|ERJ-2RKF1800X|Panasonic Electronic Components|Chip SMD Resistor|RES|SMD Resistor|R0402|R4, R64|180||2
